fecha_hora,valor_sensor,voltaje
2024-10-16 22:29:37,180,0.15
2024-10-16 22:29:38,169,0.14
2024-10-16 22:29:39,178,0.14
2024-10-16 22:29:40,178,0.14
2024-10-16 22:29:42,174,0.14
2024-10-16 22:29:43,175,0.14
2024-10-16 22:29:45,174,0.14
2024-10-16 22:29:46,176,0.14
2024-10-16 22:29:47,172,0.14
2024-10-16 22:29:49,174,0.14
2024-10-16 22:29:50,171,0.14
2024-10-16 22:29:51,178,0.14
2024-10-16 22:29:52,165,0.13
2024-10-16 22:29:54,176,0.14
2024-10-16 22:29:55,171,0.14
2024-10-16 22:29:56,167,0.13
2024-10-16 22:29:57,169,0.14
2024-10-16 22:29:59,163,0.13
2024-10-16 22:30:00,144,0.12
2024-10-16 22:30:01,161,0.13
2024-10-16 22:30:02,163,0.13
2024-10-16 22:30:04,166,0.13
2024-10-16 22:30:05,162,0.13
2024-10-16 22:30:06,167,0.13
2024-10-16 22:30:07,161,0.13
2024-10-16 22:30:09,170,0.14
2024-10-16 22:30:10,168,0.14
2024-10-16 22:30:11,169,0.14
2024-10-16 22:30:12,158,0.13
2024-10-16 22:30:14,158,0.13
2024-10-16 22:30:15,164,0.13
2024-10-16 22:30:16,174,0.14
2024-10-16 22:30:17,164,0.13
2024-10-16 22:30:19,160,0.13
2024-10-16 22:30:20,163,0.13
2024-10-16 22:30:21,158,0.13
2024-10-16 22:30:22,163,0.13
2024-10-16 22:30:24,165,0.13
2024-10-16 22:30:25,176,0.14
2024-10-16 22:30:26,165,0.13
2024-10-16 22:30:27,163,0.13
2024-10-16 22:30:29,158,0.13
2024-10-16 22:30:30,165,0.13
2024-10-16 22:30:31,166,0.13
2024-10-16 22:30:32,160,0.13
2024-10-16 22:30:34,165,0.13
2024-10-16 22:30:35,162,0.13
2024-10-16 22:30:36,153,0.12
2024-10-16 22:30:37,161,0.13
2024-10-16 22:30:39,160,0.13
2024-10-16 22:30:40,160,0.13
2024-10-16 22:30:41,167,0.13
2024-10-16 22:30:42,160,0.13
2024-10-16 22:30:44,159,0.13
2024-10-16 22:30:45,158,0.13
2024-10-16 22:30:46,155,0.12
2024-10-16 22:30:47,157,0.13
2024-10-16 22:30:49,165,0.13
2024-10-16 22:30:50,165,0.13
2024-10-16 22:30:51,157,0.13
2024-10-16 22:30:52,161,0.13
2024-10-16 22:30:54,155,0.12
2024-10-16 22:30:55,155,0.12
2024-10-16 22:30:56,158,0.13
2024-10-16 22:30:58,161,0.13
2024-10-16 22:30:59,155,0.12
2024-10-16 22:31:00,159,0.13
2024-10-16 22:31:01,173,0.14
2024-10-16 22:31:03,148,0.12
2024-10-16 22:31:04,158,0.13
2024-10-16 22:31:05,158,0.13
2024-10-16 22:31:06,166,0.13
2024-10-16 22:31:08,151,0.12
2024-10-16 22:31:09,149,0.12
2024-10-16 22:31:10,150,0.12
2024-10-16 22:31:11,151,0.12
2024-10-16 22:31:13,146,0.12
2024-10-16 22:31:14,160,0.13
2024-10-16 22:31:15,160,0.13
2024-10-16 22:31:16,156,0.13
2024-10-16 22:31:18,153,0.12
2024-10-16 22:31:19,150,0.12
2024-10-16 22:31:20,155,0.12
2024-10-16 22:31:21,144,0.12
2024-10-16 22:31:23,157,0.13
2024-10-16 22:31:24,148,0.12
2024-10-16 22:31:25,155,0.12
2024-10-16 22:31:26,147,0.12
2024-10-16 22:31:28,155,0.12
2024-10-16 22:31:29,150,0.12
2024-10-16 22:31:30,151,0.12
2024-10-16 22:31:31,145,0.12
2024-10-16 22:31:33,144,0.12
2024-10-16 22:31:34,155,0.12
2024-10-16 22:31:35,151,0.12
2024-10-16 22:31:36,150,0.12
2024-10-16 22:31:38,159,0.13
2024-10-16 22:31:39,152,0.12
2024-10-16 22:31:40,146,0.12
2024-10-16 22:31:41,160,0.13
2024-10-16 22:31:43,156,0.13
2024-10-16 22:31:44,154,0.12
2024-10-16 22:31:45,162,0.13
2024-10-16 22:31:46,150,0.12
2024-10-16 22:31:48,149,0.12
2024-10-16 22:31:49,154,0.12
2024-10-16 22:31:50,146,0.12
2024-10-16 22:31:51,155,0.12
2024-10-16 22:31:53,144,0.12
2024-10-16 22:31:54,153,0.12
2024-10-16 22:31:55,157,0.13
2024-10-16 22:31:56,149,0.12
2024-10-16 22:31:58,154,0.12
2024-10-16 22:31:59,150,0.12
2024-10-16 22:32:00,154,0.12
2024-10-16 22:32:01,150,0.12
2024-10-16 22:32:03,157,0.13
2024-10-16 22:32:04,153,0.12
2024-10-16 22:32:05,148,0.12
2024-10-16 22:32:06,156,0.13
2024-10-16 22:32:08,158,0.13
2024-10-16 22:32:09,163,0.13
2024-10-16 22:32:10,156,0.13
2024-10-16 22:32:11,163,0.13
2024-10-16 22:32:13,165,0.13
