valor_analogico,voltaje,calidad_aire
165,0.13,Excelente
151,0.12,Excelente
208,0.17,Excelente
176,0.14,Excelente
205,0.17,Excelente
192,0.15,Excelente
171,0.14,Excelente
172,0.14,Excelente
207,0.17,Excelente
191,0.15,Excelente
192,0.15,Excelente
177,0.14,Excelente
177,0.14,Excelente
179,0.14,Excelente
192,0.15,Excelente
165,0.13,Excelente
202,0.16,Excelente
171,0.14,Excelente
190,0.15,Excelente
176,0.14,Excelente
210,0.17,Excelente
203,0.16,Excelente
169,0.14,Excelente
181,0.15,Excelente
192,0.15,Excelente
194,0.16,Excelente
177,0.14,Excelente
176,0.14,Excelente
173,0.14,Excelente
164,0.13,Excelente
192,0.15,Excelente
176,0.14,Excelente
199,0.16,Excelente
183,0.15,Excelente
182,0.15,Excelente
186,0.15,Excelente
189,0.15,Excelente
178,0.14,Excelente
171,0.14,Excelente
171,0.14,Excelente
158,0.13,Excelente
174,0.14,Excelente
182,0.15,Excelente
176,0.14,Excelente
191,0.15,Excelente
208,0.17,Excelente
189,0.15,Excelente
183,0.15,Excelente
176,0.14,Excelente
169,0.14,Excelente
175,0.14,Excelente
202,0.16,Excelente
175,0.14,Excelente
192,0.15,Excelente
171,0.14,Excelente
201,0.16,Excelente
173,0.14,Excelente
163,0.13,Excelente
183,0.15,Excelente
201,0.16,Excelente
175,0.14,Excelente
170,0.14,Excelente
179,0.14,Excelente
176,0.14,Excelente
177,0.14,Excelente
162,0.13,Excelente
191,0.15,Excelente
179,0.14,Excelente
164,0.13,Excelente
180,0.15,Excelente
187,0.15,Excelente
170,0.14,Excelente
178,0.14,Excelente
178,0.14,Excelente
189,0.15,Excelente
167,0.13,Excelente
187,0.15,Excelente
182,0.15,Excelente
199,0.16,Excelente
205,0.17,Excelente
158,0.13,Excelente
185,0.15,Excelente
163,0.13,Excelente
171,0.14,Excelente
194,0.16,Excelente
193,0.16,Excelente
170,0.14,Excelente
198,0.16,Excelente
192,0.15,Excelente
160,0.13,Excelente
199,0.16,Excelente
156,0.13,Excelente
177,0.14,Excelente
182,0.15,Excelente
179,0.14,Excelente
176,0.14,Excelente
197,0.16,Excelente
176,0.14,Excelente
185,0.15,Excelente
186,0.15,Excelente
199,0.16,Excelente
21,0.02,Excelente
44,0.04,Excelente
207,0.17,Excelente
208,0.17,Excelente
233,0.19,Excelente
211,0.17,Excelente
198,0.16,Excelente
206,0.17,Excelente
180,0.15,Excelente
161,0.13,Excelente
225,0.18,Excelente
203,0.16,Excelente
205,0.17,Excelente
208,0.17,Excelente
192,0.15,Excelente
171,0.14,Excelente
206,0.17,Excelente
221,0.18,Excelente
181,0.15,Excelente
204,0.16,Excelente
187,0.15,Excelente
208,0.17,Excelente
201,0.16,Excelente
208,0.17,Excelente
217,0.17,Excelente
192,0.15,Excelente
179,0.14,Excelente
201,0.16,Excelente
200,0.16,Excelente
192,0.15,Excelente
203,0.16,Excelente
176,0.14,Excelente
176,0.14,Excelente
207,0.17,Excelente
206,0.17,Excelente
192,0.15,Excelente
160,0.13,Excelente
166,0.13,Excelente
163,0.13,Excelente
194,0.16,Excelente
210,0.17,Excelente
178,0.14,Excelente
191,0.15,Excelente
171,0.14,Excelente
191,0.15,Excelente
222,0.18,Excelente
167,0.13,Excelente
208,0.17,Excelente
166,0.13,Excelente
199,0.16,Excelente
176,0.14,Excelente
176,0.14,Excelente
190,0.15,Excelente
202,0.16,Excelente
207,0.17,Excelente
208,0.17,Excelente
228,0.18,Excelente
209,0.17,Excelente
191,0.15,Excelente
211,0.17,Excelente
212,0.17,Excelente
210,0.17,Excelente
218,0.18,Excelente
188,0.15,Excelente
189,0.15,Excelente
193,0.16,Excelente
160,0.13,Excelente
163,0.13,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
0,0.0,Excelente
13,0.01,Excelente
5,0.0,Excelente
4,0.0,Excelente
12,0.01,Excelente
31,0.02,Excelente
33,0.03,Excelente
13,0.01,Excelente
48,0.04,Excelente
32,0.03,Excelente
26,0.02,Excelente
39,0.03,Excelente
32,0.03,Excelente
57,0.05,Excelente
50,0.04,Excelente
41,0.03,Excelente
31,0.02,Excelente
67,0.05,Excelente
77,0.06,Excelente
72,0.06,Excelente
71,0.06,Excelente
61,0.05,Excelente
69,0.06,Excelente
64,0.05,Excelente
82,0.07,Excelente
80,0.06,Excelente
54,0.04,Excelente
70,0.06,Excelente
86,0.07,Excelente
80,0.06,Excelente
63,0.05,Excelente
64,0.05,Excelente
78,0.06,Excelente
81,0.07,Excelente
92,0.07,Excelente
103,0.08,Excelente
77,0.06,Excelente
80,0.06,Excelente
80,0.06,Excelente
82,0.07,Excelente
90,0.07,Excelente
67,0.05,Excelente
92,0.07,Excelente
79,0.06,Excelente
78,0.06,Excelente
105,0.08,Excelente
105,0.08,Excelente
80,0.06,Excelente
78,0.06,Excelente
81,0.07,Excelente
87,0.07,Excelente
85,0.07,Excelente
84,0.07,Excelente
90,0.07,Excelente
99,0.08,Excelente
102,0.08,Excelente
85,0.07,Excelente
80,0.06,Excelente
84,0.07,Excelente
85,0.07,Excelente
89,0.07,Excelente
111,0.09,Excelente
110,0.09,Excelente
93,0.07,Excelente
96,0.08,Excelente
83,0.07,Excelente
80,0.06,Excelente
81,0.07,Excelente
87,0.07,Excelente
81,0.07,Excelente
107,0.09,Excelente
112,0.09,Excelente
112,0.09,Excelente
93,0.07,Excelente
101,0.08,Excelente
84,0.07,Excelente
103,0.08,Excelente
96,0.08,Excelente
107,0.09,Excelente
93,0.07,Excelente
95,0.08,Excelente
97,0.08,Excelente
96,0.08,Excelente
96,0.08,Excelente
89,0.07,Excelente
107,0.09,Excelente
109,0.09,Excelente
126,0.1,Excelente
85,0.07,Excelente
89,0.07,Excelente
127,0.1,Excelente
112,0.09,Excelente
115,0.09,Excelente
102,0.08,Excelente
110,0.09,Excelente
90,0.07,Excelente
81,0.07,Excelente
88,0.07,Excelente
103,0.08,Excelente
114,0.09,Excelente
112,0.09,Excelente
110,0.09,Excelente
81,0.07,Excelente
112,0.09,Excelente
97,0.08,Excelente
89,0.07,Excelente
111,0.09,Excelente
109,0.09,Excelente
96,0.08,Excelente
100,0.08,Excelente
124,0.1,Excelente
97,0.08,Excelente
